x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
9.499375,9.955616,-8.399899,AT1G01010,FLT,9,7,22,14
21.491367,9.517443,-3.557255,AT1G01020,FLT,9,9,11,4
8.496756,7.5079174,17.160885,AT1G01030,FLT,0,12,0,6
2.619283,-22.108736,7.513841,AT1G01040,FLT,14,4,16,10
4.3346033,-20.672829,9.93279,AT1G01050,FLT,19,4,21,10
-4.733608,3.382704,-23.427279,AT1G01060,FLT,1,1,18,9
6.9859657,7.5825744,-14.314271,AT1G01070,FLT,9,7,22,14
-3.1248875,-6.4552565,-24.928383,AT1G01080,FLT,10,0,18,7
-11.142989,13.027168,-13.385597,AT1G01090,FLT,11,3,13,0
-10.92491,13.537399,-11.474937,AT1G01100,FLT,11,3,13,0
14.354135,4.785704,-15.23894,AT1G01110,FLT,9,7,14,14
3.5157893,-22.291178,-4.1691074,AT1G01120,FLT,14,4,16,10
-16.988764,-6.7191463,-4.589724,AT1G01130,FLT,8,13,19,1
0.8645565,11.7893,-1.4534959,AT1G01140,FLT,10,13,2,1
-17.139193,-2.6996558,-6.5020227,AT1G01150,FLT,8,13,7,1
0.25053263,-10.714612,13.988279,AT1G01160,FLT,19,4,6,12
8.810744,4.815706,-17.370434,AT1G01170,FLT,9,7,3,14
17.09399,-1.4129813,-5.730086,AT1G01180,FLT,9,9,17,4
3.8781552,-22.21384,-3.7604003,AT1G01190,FLT,14,4,16,10
17.941513,9.052332,9.946349,AT1G01200,FLT,0,11,15,6
12.012886,10.76509,-8.920475,AT1G01210,FLT,9,8,14,4
-3.784686,-3.9223778,1.5237852,AT1G01220,FLT,17,5,6,2
20.012365,2.3819466,5.6481333,AT1G01225,FLT,9,10,17,4
-2.7631462,-2.9230776,-11.354056,AT1G01230,FLT,17,6,12,2
14.897072,-3.2243176,-8.509971,AT1G01240,FLT,9,8,20,4
-8.90941,10.162404,0.17760183,AT1G01250,FLT,0,13,2,1
-3.448622,-1.7365764,-6.8145847,AT1G01260,FLT,17,6,12,2
14.546371,5.938759,-14.87992,AT1G01290,FLT,9,7,14,14
-14.76526,2.0101762,-18.983088,AT1G01300,FLT,7,3,24,13
-15.601125,-10.488631,-0.92178667,AT1G01310,FLT,8,13,19,1
-2.1889496,12.315866,-18.001278,AT1G01320,FLT,11,1,4,9
11.996027,-9.053739,-7.570779,AT1G01340,FLT,17,7,20,2
0.7240223,-11.727765,-4.9384794,AT1G01350,FLT,17,5,12,2
-22.691038,-9.083658,1.9080569,AT1G01355,FLT,8,13,8,1
11.631016,-6.869003,-9.762648,AT1G01360,FLT,17,7,20,2
16.002314,11.316007,6.1489873,AT1G01370,FLT,0,10,15,6
-10.30537,14.150264,9.826897,AT1G01380,FLT,0,13,1,1
-16.290377,11.700522,6.912502,AT1G01390,FLT,0,13,1,1
14.70161,-4.4495792,-6.5292263,AT1G01420,FLT,9,8,20,4
10.21278,-15.1336355,9.348112,AT1G01430,FLT,19,4,21,10
5.1256933,-9.33762,-10.966042,AT1G01440,FLT,17,5,20,2
12.045683,-3.8303096,-12.9052725,AT1G01448,FLT,9,7,3,14
-10.851764,-9.101007,9.055105,AT1G01450,FLT,8,13,23,1
-2.7965808,6.7321777,19.060648,AT1G01453,FLT,0,14,9,6
-14.904624,-12.38688,8.860221,AT1G01460,FLT,8,13,23,1
2.0135777,3.6862822,1.440498,AT1G01470,FLT,4,4,6,12
6.816199,8.035372,19.331553,AT1G01480,FLT,0,12,0,6
-3.0724456,-6.5277276,-24.976126,AT1G01490,FLT,16,0,18,7
11.933921,11.147108,-6.325903,AT1G01500,FLT,9,8,14,4
0.04286407,-25.346539,0.26617137,AT1G01510,FLT,2,4,16,10
-11.903333,13.77966,10.031871,AT1G01520,FLT,0,13,1,1
-22.144264,-0.54760057,-0.73122203,AT1G01530,FLT,8,13,7,1
-0.63524896,-25.50686,0.27571377,AT1G01540,FLT,2,4,16,10
-15.9615755,12.203853,-15.859363,AT1G01550,FLT,11,3,13,0
-1.6624373,11.918848,3.4633203,AT1G01560,FLT,0,13,2,1
11.346807,1.2330623,13.220538,AT1G01570,FLT,0,11,0,6
12.152321,3.220668,12.032879,AT1G01580,FLT,0,11,15,6
-11.678609,-3.3403177,2.197318,AT1G01590,FLT,8,13,19,1
7.646517,9.140189,-6.1938066,AT1G01600,FLT,9,7,22,14
-7.00323,-19.98498,-8.560351,AT1G01610,FLT,13,4,10,5
-8.219829,15.014731,-8.613624,AT1G01620,FLT,11,3,13,0
-0.22394122,-12.939648,13.692362,AT1G01630,FLT,19,4,6,12
5.5991826,-9.931552,-10.0546055,AT1G01640,FLT,17,5,20,2
-0.9605036,-8.596414,3.4462976,AT1G01650,FLT,12,4,5,12
6.5631814,8.8075695,19.299212,AT1G01660,FLT,0,12,0,6
