x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
-32.781574,80.78128,AT1G01010,0,14,9,8,10
85.64245,4.876138,AT1G01020,0,3,0,14,3
-3.0412202,17.773987,AT1G01030,0,20,12,3,8
-16.270576,52.50407,AT1G01040,0,20,11,12,14
-0.3623147,-64.66086,AT1G01046,0,2,15,7,5
34.96775,21.29634,AT1G01050,0,15,4,10,11
18.028994,-25.648746,AT1G01060,0,0,14,17,9
95.46533,-6.9797707,AT1G01070,0,17,1,6,0
-31.849627,1.2796555,AT1G01080,0,20,13,1,12
50.944862,20.529255,AT1G01090,0,9,4,10,11
29.734594,-12.455149,AT1G01100,0,15,5,15,7
87.178246,11.793962,AT1G01110,0,10,0,14,3
-7.6256585,-16.37008,AT1G01120,0,20,13,17,12
-43.66626,-16.91562,AT1G01130,0,2,13,1,12
-21.866934,-33.871883,AT1G01140,0,2,13,16,12
-54.52627,-72.16865,AT1G01150,0,2,13,0,12
56.54665,-30.417889,AT1G01160,0,13,3,4,1
-20.62748,65.185196,AT1G01170,0,14,9,12,10
-15.146325,-28.5435,AT1G01180,0,2,13,17,12
2.3708653,-79.962265,AT1G01183,0,2,14,7,5
-25.235653,18.067907,AT1G01190,0,20,13,5,8
-48.663845,-10.053829,AT1G01200,0,2,13,1,12
62.292053,34.755325,AT1G01210,0,24,6,14,4
3.6236682,17.98722,AT1G01220,0,20,12,11,8
-23.60264,51.224934,AT1G01225,0,20,11,12,14
70.23011,-45.120502,AT1G01230,0,1,2,19,13
1.6868671,85.478325,AT1G01240,0,14,8,2,10
-33.721996,58.738914,AT1G01260,0,20,10,12,14
37.76098,66.75731,AT1G01290,0,7,6,13,4
64.42063,-36.040733,AT1G01300,0,1,2,19,13
-28.976656,-94.92488,AT1G01305,0,2,0,18,5
-54.286697,-17.94487,AT1G01310,0,2,13,1,12
-29.522346,35.45352,AT1G01320,0,20,12,3,8
-8.028379,8.867866,AT1G01340,0,20,12,5,8
63.227104,37.477665,AT1G01350,0,24,6,14,4
-31.691725,-96.115715,AT1G01355,0,2,14,18,5
84.05386,8.008931,AT1G01360,0,10,0,14,3
0.92322373,79.14127,AT1G01370,0,14,8,2,10
-8.016978,32.498665,AT1G01380,0,20,12,3,8
8.158997,-73.555374,AT1G01390,0,2,14,7,5
-22.829855,-50.603455,AT1G01420,0,2,15,16,5
-60.1067,38.20891,AT1G01430,0,0,12,11,6
3.5436425,5.399144,AT1G01440,0,20,12,11,8
-57.389404,38.87408,AT1G01448,0,14,12,11,8
2.2429745,-54.571075,AT1G01450,0,2,15,7,5
-56.99191,-41.09592,AT1G01453,0,2,13,9,12
65.65641,42.878105,AT1G01470,0,21,6,14,4
-41.33836,-27.416264,AT1G01480,0,2,13,16,12
68.75908,-43.41748,AT1G01490,0,1,2,19,13
-1.4807441,23.665846,AT1G01500,0,20,12,3,8
52.90035,-17.766724,AT1G01510,0,8,3,4,1
-13.456979,-65.42972,AT1G01520,0,2,15,16,5
62.871246,45.4015,AT1G01540,0,21,6,13,4
42.742764,20.638802,AT1G01550,0,15,4,10,11
-28.797977,-96.39486,AT1G01560,0,2,14,18,5
-5.2236133,18.300467,AT1G01570,0,20,12,3,8
15.885069,87.477715,AT1G01580,0,7,6,2,2
-45.920643,-1.4090024,AT1G01600,0,2,13,1,12
-45.116825,36.557655,AT1G01610,0,20,12,11,8
27.738428,-9.039532,AT1G01620,0,15,5,15,7
95.10169,-13.330567,AT1G01630,0,6,1,6,0
60.390396,39.02626,AT1G01640,0,24,6,13,4
71.57033,36.6926,AT1G01650,0,21,6,14,4
-34.97195,-15.897457,AT1G01660,0,2,13,1,12
16.926344,-47.51368,AT1G01670,0,2,14,17,9
-11.602944,-96.17275,AT1G01680,0,2,0,18,5
-14.439744,44.752216,AT1G01690,0,20,12,3,8
-45.921314,-48.659744,AT1G01695,0,2,13,16,12
-39.82047,-23.72623,AT1G01700,0,2,13,16,12
-50.611366,34.91959,AT1G01710,0,14,12,11,8
-17.001402,20.335808,AT1G01715,0,20,12,3,8
40.651707,14.612886,AT1G01720,0,9,4,10,11
15.273818,87.679985,AT1G01725,0,7,7,2,2
54.95312,-36.906944,AT1G01730,0,13,2,19,13
-11.693299,-26.450878,AT1G01740,0,20,15,17,9
15.176397,70.66995,AT1G01750,0,7,6,2,2
-32.568108,30.46606,AT1G01760,0,20,12,3,8
-52.489437,66.25117,AT1G01770,0,14,9,8,10
-39.11892,56.84518,AT1G01780,0,20,10,12,14
5.2490277,24.409245,AT1G01790,0,20,12,3,8
57.07925,9.105298,AT1G01800,0,12,4,10,11
-54.043964,-14.816263,AT1G01810,0,2,13,1,12
45.1352,-34.766052,AT1G01820,0,13,3,4,1
-43.53334,68.1518,AT1G01830,0,14,9,12,10
-16.051666,6.7425356,AT1G01840,0,20,12,5,8
-17.22925,-12.660777,AT1G01860,0,20,13,5,8
-30.568743,9.273506,AT1G01880,0,20,13,5,8
-7.937837,48.85963,AT1G01900,0,20,12,3,8
77.106476,-30.7609,AT1G01910,0,19,1,6,0
90.93991,-1.9844992,AT1G01920,0,3,0,6,0
-16.502878,86.51522,AT1G01930,0,14,9,8,10
62.39981,34.433342,AT1G01940,0,24,6,14,4
-49.363216,68.695946,AT1G01950,0,14,9,8,10
64.06192,-33.833813,AT1G01960,0,1,2,19,13
-4.6209464,-13.944041,AT1G01970,0,20,13,17,12
66.56869,42.14963,AT1G01990,0,21,6,14,4
-60.544346,68.18224,AT1G02000,0,14,9,8,10
-17.969242,-12.40794,AT1G02010,0,20,13,5,8
-33.700993,33.42735,AT1G02020,0,20,12,11,8
-40.903904,-22.577057,AT1G02030,0,2,13,1,12
-9.575351,-11.731027,AT1G02050,0,20,13,5,8
3.0020454,-21.692352,AT1G02060,0,20,15,17,9
-55.02116,-62.069145,AT1G02070,0,2,13,0,12
62.055374,33.251377,AT1G02080,0,24,6,14,4
72.874695,25.355383,AT1G02090,0,12,6,14,4
54.15643,-13.221739,AT1G02100,0,22,3,4,1
-11.425694,88.46053,AT1G02110,0,14,8,8,10
83.2157,16.769066,AT1G02120,0,23,0,14,3
49.708374,18.060617,AT1G02130,0,9,4,10,11
25.90011,10.005647,AT1G02140,0,15,4,10,11
33.760635,50.631413,AT1G02145,0,7,6,13,4
7.9846587,71.06001,AT1G02150,0,7,7,2,2
52.095863,-16.804731,AT1G02160,0,8,3,4,1
78.610176,30.927422,AT1G02170,0,21,6,14,4
-21.892817,50.337578,AT1G02180,0,20,11,12,14
-11.180128,-96.532555,AT1G02190,0,2,0,18,5
-40.54187,-75.776306,AT1G02205,0,2,13,0,12
1.6443485,69.397934,AT1G02220,0,14,8,2,10
-48.601143,-24.180527,AT1G02230,0,2,13,9,12
4.8637652,-78.790726,AT1G02250,0,2,14,7,5
-6.2461247,73.19344,AT1G02260,0,14,8,8,10
-54.75304,68.617485,AT1G02270,0,14,9,8,10
22.633638,55.30882,AT1G02280,0,7,6,2,2
