paper_dimension	human_symbol	human_ensembl_gene	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id	selection_role
0	DFFB	ENSG00000169598	ENSMUSG00000029027	Dffb	ortholog_one2one	77.2189	best_ensembl_ortholog
1	ICMT	ENSG00000116237	ENSMUSG00000039662	Icmt	ortholog_one2one	96.1268	best_ensembl_ortholog
2	KLHL21	ENSG00000162413	ENSMUSG00000073700	Klhl21	ortholog_one2one	96.6499	best_ensembl_ortholog
3	CLSTN1	ENSG00000171603	ENSMUSG00000039953	Clstn1	ortholog_one2one	87.3598	best_ensembl_ortholog
4	DFFA	ENSG00000160049	ENSMUSG00000028974	Dffa	ortholog_one2one	76.1329	best_ensembl_ortholog
5	SPEN	ENSG00000065526	ENSMUSG00000040761	Spen	ortholog_one2one	81.0317	best_ensembl_ortholog
6	SDHB	ENSG00000117118	ENSMUSG00000009863	Sdhb	ortholog_one2one	91.7857	best_ensembl_ortholog
7	RAP1GAP	ENSG00000076864	ENSMUSG00000041351	Rap1gap	ortholog_one2one	96.5309	best_ensembl_ortholog
8	CDC42	ENSG00000070831	ENSMUSG00000006699	Cdc42	ortholog_one2one	100.0	best_ensembl_ortholog
9	EPHB2	ENSG00000133216	ENSMUSG00000028664	Ephb2	ortholog_one2one	99.4929	best_ensembl_ortholog
10	E2F2	ENSG00000007968	ENSMUSG00000018983	E2f2	ortholog_one2one	83.2952	best_ensembl_ortholog
11	GALE	ENSG00000117308	ENSMUSG00000028671	Gale	ortholog_one2one	93.3908	best_ensembl_ortholog
12	CLIC4	ENSG00000169504	ENSMUSG00000037242	Clic4	ortholog_one2one	98.8142	best_ensembl_ortholog
13	TMEM50A	ENSG00000183726	ENSMUSG00000028822	Tmem50a	ortholog_one2one	94.2675	best_ensembl_ortholog
14	STMN1	ENSG00000117632	ENSMUSG00000028832	Stmn1	ortholog_one2one	98.6577	best_ensembl_ortholog
15	DHDDS	ENSG00000117682	ENSMUSG00000012117	Dhdds	ortholog_one2one	92.4925	best_ensembl_ortholog
16	RPS6KA1	ENSG00000117676	ENSMUSG00000003644	Rps6ka1	ortholog_one2one	98.5034	best_ensembl_ortholog
17	SFN	ENSG00000175793	ENSMUSG00000047281	Sfn	ortholog_one2one	97.5806	best_ensembl_ortholog
18	WDTC1	ENSG00000142784	ENSMUSG00000037622	Wdtc1	ortholog_one2one	97.0458	best_ensembl_ortholog
19	RPA2	ENSG00000117748	ENSMUSG00000028884	Rpa2	ortholog_one2one	88.5185	best_ensembl_ortholog
20	TXLNA	ENSG00000084652	ENSMUSG00000053841	Txlna	ortholog_one2one	90.4762	best_ensembl_ortholog
21	TRAPPC3	ENSG00000054116	ENSMUSG00000028847	Trappc3	ortholog_one2one	98.3333	best_ensembl_ortholog
22	MYCBP	ENSG00000214114	ENSMUSG00000028647	Mycbp	ortholog_one2one	85.4369	best_ensembl_ortholog
23	MACF1	ENSG00000127603	ENSMUSG00000028649	Macf1	ortholog_one2one	81.5751	best_ensembl_ortholog
24	PPIE	ENSG00000084072	ENSMUSG00000028651	Ppie	ortholog_one2one	98.0066	best_ensembl_ortholog
25	FOXJ3	ENSG00000198815	ENSMUSG00000032998	Foxj3	ortholog_one2one	94.5338	best_ensembl_ortholog
26	EBNA1BP2	ENSG00000117395	ENSMUSG00000028729	Ebna1bp2	ortholog_one2one	85.2941	best_ensembl_ortholog
27	CDC20	ENSG00000117399	ENSMUSG00000006398	Cdc20	ortholog_one2one	94.7896	best_ensembl_ortholog
28	PTPRF	ENSG00000142949	ENSMUSG00000033295	Ptprf	ortholog_one2one	95.3854	best_ensembl_ortholog
29	IPO13	ENSG00000117408	ENSMUSG00000033365	Ipo13	ortholog_one2one	99.1693	best_ensembl_ortholog
30	DPH2	ENSG00000132768	ENSMUSG00000028540	Dph2	ortholog_one2one	83.6401	best_ensembl_ortholog
31	ATP6V0B	ENSG00000117410	ENSMUSG00000033379	Atp6v0b	ortholog_one2one	96.0976	best_ensembl_ortholog
32	KIF2C	ENSG00000142945	ENSMUSG00000028678	Kif2c	ortholog_one2one	83.0345	best_ensembl_ortholog
33	MAST2	ENSG00000086015	ENSMUSG00000003810	Mast2	ortholog_one2one	88.0423	best_ensembl_ortholog
34	PIK3R3	ENSG00000117461	ENSMUSG00000028698	Pik3r3	ortholog_one2one	95.8785	best_ensembl_ortholog
35	LRRC41	ENSG00000132128	ENSMUSG00000028703	Lrrc41	ortholog_one2one	95.0739	best_ensembl_ortholog
36	MKNK1	ENSG00000079277	ENSMUSG00000028708	Mknk1	ortholog_one2one	93.4466	best_ensembl_ortholog
37	EFCAB14	ENSG00000159658	ENSMUSG00000034210	Efcab14	ortholog_one2one	79.596	best_ensembl_ortholog
38	ORC1	ENSG00000085840	ENSMUSG00000028587	Orc1	ortholog_one2one	66.0859	best_ensembl_ortholog
39	SCP2	ENSG00000116171	ENSMUSG00000028603	Scp2	ortholog_one2one	89.2139	best_ensembl_ortholog
40	JUN	ENSG00000177606	ENSMUSG00000052684	Jun	ortholog_one2one	96.3746	best_ensembl_ortholog
41	USP1	ENSG00000162607	ENSMUSG00000028560	Usp1	ortholog_one2one	88.1529	best_ensembl_ortholog
42	PGM1	ENSG00000079739	ENSMUSG00000025791	Pgm1	ortholog_one2one	97.331	best_ensembl_ortholog
43	GADD45A	ENSG00000116717	ENSMUSG00000036390	Gadd45a	ortholog_one2one	94.5455	best_ensembl_ortholog
44	CRYZ	ENSG00000116791	ENSMUSG00000028199	Cryz	ortholog_one2one	81.155	best_ensembl_ortholog
45	HS2ST1	ENSG00000153936	ENSMUSG00000040151	Hs2st1	ortholog_one2one	97.4719	best_ensembl_ortholog
46	FAM69A	ENSG00000154511	ENSMUSG00000029270	Dipk1a	ortholog_one2one	96.9626	best_ensembl_ortholog
47	MTF2	ENSG00000143033	ENSMUSG00000029267	Mtf2	ortholog_one2one	97.6391	best_ensembl_ortholog
48	DNTTIP2	ENSG00000067334	ENSMUSG00000039756	Dnttip2	ortholog_one2one	62.037	best_ensembl_ortholog
49	SNX7	ENSG00000162627	ENSMUSG00000028007	Snx7	ortholog_one2one	88.2483	best_ensembl_ortholog
50	AGL	ENSG00000162688	ENSMUSG00000033400	Agl	ortholog_one2one	91.906	best_ensembl_ortholog
51	SLC35A3	ENSG00000117620	ENSMUSG00000027957	Slc35a3	ortholog_one2one	95.3846	best_ensembl_ortholog
