human_symbol	human_ensembl_gene	human_symbol_biomart	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id
DFFB	ENSG00000169598	DFFB	ENSMUSG00000029027	Dffb	ortholog_one2one	77.2189
ICMT	ENSG00000116237	ICMT	ENSMUSG00000039662	Icmt	ortholog_one2one	96.1268
KLHL21	ENSG00000162413	KLHL21	ENSMUSG00000073700	Klhl21	ortholog_one2one	96.6499
CLSTN1	ENSG00000171603	CLSTN1	ENSMUSG00000039953	Clstn1	ortholog_one2one	87.3598
DFFA	ENSG00000160049	DFFA	ENSMUSG00000028974	Dffa	ortholog_one2one	76.1329
SPEN	ENSG00000065526	SPEN	ENSMUSG00000040761	Spen	ortholog_one2one	81.0317
SDHB	ENSG00000117118	SDHB	ENSMUSG00000009863	Sdhb	ortholog_one2one	91.7857
RAP1GAP	ENSG00000076864	RAP1GAP	ENSMUSG00000041351	Rap1gap	ortholog_one2one	96.5309
CDC42	ENSG00000070831	CDC42	ENSMUSG00000006699	Cdc42	ortholog_one2one	100.0
EPHB2	ENSG00000133216	EPHB2	ENSMUSG00000028664	Ephb2	ortholog_one2one	99.4929
E2F2	ENSG00000007968	E2F2	ENSMUSG00000018983	E2f2	ortholog_one2one	83.2952
GALE	ENSG00000117308	GALE	ENSMUSG00000028671	Gale	ortholog_one2one	93.3908
CLIC4	ENSG00000169504	CLIC4	ENSMUSG00000037242	Clic4	ortholog_one2one	98.8142
TMEM50A	ENSG00000183726	TMEM50A	ENSMUSG00000028822	Tmem50a	ortholog_one2one	94.2675
STMN1	ENSG00000117632	STMN1	ENSMUSG00000028832	Stmn1	ortholog_one2one	98.6577
DHDDS	ENSG00000117682	DHDDS	ENSMUSG00000012117	Dhdds	ortholog_one2one	92.4925
RPS6KA1	ENSG00000117676	RPS6KA1	ENSMUSG00000003644	Rps6ka1	ortholog_one2one	98.5034
SFN	ENSG00000175793	SFN	ENSMUSG00000047281	Sfn	ortholog_one2one	97.5806
WDTC1	ENSG00000142784	WDTC1	ENSMUSG00000037622	Wdtc1	ortholog_one2one	97.0458
RPA2	ENSG00000117748	RPA2	ENSMUSG00000028884	Rpa2	ortholog_one2one	88.5185
TXLNA	ENSG00000084652	TXLNA	ENSMUSG00000053841	Txlna	ortholog_one2one	90.4762
TRAPPC3	ENSG00000054116	TRAPPC3	ENSMUSG00000028847	Trappc3	ortholog_one2one	98.3333
MYCBP	ENSG00000214114	MYCBP	ENSMUSG00000028647	Mycbp	ortholog_one2one	85.4369
MACF1	ENSG00000127603	MACF1	ENSMUSG00000028649	Macf1	ortholog_one2one	81.5751
PPIE	ENSG00000084072	PPIE	ENSMUSG00000028651	Ppie	ortholog_one2one	98.0066
FOXJ3	ENSG00000198815	FOXJ3	ENSMUSG00000032998	Foxj3	ortholog_one2one	94.5338
EBNA1BP2	ENSG00000117395	EBNA1BP2	ENSMUSG00000028729	Ebna1bp2	ortholog_one2one	85.2941
CDC20	ENSG00000117399	CDC20	ENSMUSG00000006398	Cdc20	ortholog_one2one	94.7896
PTPRF	ENSG00000142949	PTPRF	ENSMUSG00000033295	Ptprf	ortholog_one2one	95.3854
IPO13	ENSG00000117408	IPO13	ENSMUSG00000033365	Ipo13	ortholog_one2one	99.1693
DPH2	ENSG00000132768	DPH2	ENSMUSG00000028540	Dph2	ortholog_one2one	83.6401
ATP6V0B	ENSG00000117410	ATP6V0B	ENSMUSG00000033379	Atp6v0b	ortholog_one2one	96.0976
KIF2C	ENSG00000142945	KIF2C	ENSMUSG00000028678	Kif2c	ortholog_one2one	83.0345
MAST2	ENSG00000086015	MAST2	ENSMUSG00000003810	Mast2	ortholog_one2one	88.0423
PIK3R3	ENSG00000117461	PIK3R3	ENSMUSG00000028698	Pik3r3	ortholog_one2one	95.8785
LRRC41	ENSG00000132128	LRRC41	ENSMUSG00000028703	Lrrc41	ortholog_one2one	95.0739
MKNK1	ENSG00000079277	MKNK1	ENSMUSG00000028708	Mknk1	ortholog_one2one	93.4466
EFCAB14	ENSG00000159658	EFCAB14	ENSMUSG00000034210	Efcab14	ortholog_one2one	79.596
ORC1	ENSG00000085840	ORC1	ENSMUSG00000028587	Orc1	ortholog_one2one	66.0859
SCP2	ENSG00000116171	SCP2	ENSMUSG00000028603	Scp2	ortholog_one2one	89.2139
JUN	ENSG00000177606	JUN	ENSMUSG00000052684	Jun	ortholog_one2one	96.3746
USP1	ENSG00000162607	USP1	ENSMUSG00000028560	Usp1	ortholog_one2one	88.1529
PGM1	ENSG00000079739	PGM1	ENSMUSG00000025791	Pgm1	ortholog_one2one	97.331
GADD45A	ENSG00000116717	GADD45A	ENSMUSG00000036390	Gadd45a	ortholog_one2one	94.5455
CRYZ	ENSG00000116791	CRYZ	ENSMUSG00000028199	Cryz	ortholog_one2one	81.155
HS2ST1	ENSG00000153936	HS2ST1	ENSMUSG00000040151	Hs2st1	ortholog_one2one	97.4719
FAM69A	ENSG00000154511	DIPK1A	ENSMUSG00000029270	Dipk1a	ortholog_one2one	96.9626
MTF2	ENSG00000143033	MTF2	ENSMUSG00000029267	Mtf2	ortholog_one2one	97.6391
DNTTIP2	ENSG00000067334	DNTTIP2	ENSMUSG00000039756	Dnttip2	ortholog_one2one	62.037
SNX7	ENSG00000162627	SNX7	ENSMUSG00000028007	Snx7	ortholog_one2one	88.2483
AGL	ENSG00000162688	AGL	ENSMUSG00000033400	Agl	ortholog_one2one	91.906
SLC35A3	ENSG00000117620	SLC35A3	ENSMUSG00000027957	Slc35a3	ortholog_one2one	95.3846
VAV3	ENSG00000134215	VAV3	ENSMUSG00000033721	Vav3	ortholog_one2one	95.3955
PSRC1	ENSG00000134222	PSRC1	ENSMUSG00000068744	Psrc1	ortholog_one2one	69.97
GSTM2	ENSG00000213366	GSTM2	ENSMUSG00000004035	Gstm7	ortholog_one2one	83.0275
DENND2D	ENSG00000162777	DENND2D	ENSMUSG00000027901	Dennd2d	ortholog_one2one	89.172
NRAS	ENSG00000213281	NRAS	ENSMUSG00000027852	Nras	ortholog_one2one	99.4709
PHGDH	ENSG00000092621	PHGDH	ENSMUSG00000053398	Phgdh	ortholog_one2one	94.5591
MINDY1	ENSG00000143409	MINDY1	ENSMUSG00000038712	Mindy1	ortholog_one2one	85.9275
PRUNE1	ENSG00000143363	PRUNE1	ENSMUSG00000015711	Prune1	ortholog_one2one	85.4305
MLLT11	ENSG00000213190	MLLT11	ENSMUSG00000053192	Mllt11	ortholog_one2one	86.6667
VPS72	ENSG00000163159	VPS72	ENSMUSG00000008958	Vps72	ortholog_one2one	96.7033
PSMD4	ENSG00000159352	PSMD4	ENSMUSG00000005625	Psmd4	ortholog_one2one	96.0212
RFX5	ENSG00000143390	RFX5	ENSMUSG00000005774	Rfx5	ortholog_one2one	78.2467
S100A4	ENSG00000196154	S100A4	ENSMUSG00000001020	S100a4	ortholog_one2one	93.0693
S100A13	ENSG00000189171	S100A13	ENSMUSG00000042312	S100a13	ortholog_one2one	82.6531
INTS3	ENSG00000143624	INTS3	ENSMUSG00000027933	Ints3	ortholog_one2one	98.6564
SLC27A3	ENSG00000143554	SLC27A3	ENSMUSG00000027932	Slc27a3	ortholog_one2one	83.7482
SHC1	ENSG00000160691	SHC1	ENSMUSG00000042626	Shc1	ortholog_one2one	94.3493
MUC1	ENSG00000185499	MUC1	ENSMUSG00000042784	Muc1	ortholog_one2one	50.5263
KIAA0907	ENSG00000132680	KHDC4	ENSMUSG00000028060	Khdc4	ortholog_one2one	95.4397
ARHGEF2	ENSG00000116584	ARHGEF2	ENSMUSG00000028059	Arhgef2	ortholog_one2one	88.3367
NIT1	ENSG00000158793	NIT1	ENSMUSG00000013997	Nit1	ortholog_one2one	84.4037
PPOX	ENSG00000143224	PPOX	ENSMUSG00000062729	Ppox	ortholog_one2one	88.6792
ATF6	ENSG00000118217	ATF6	ENSMUSG00000026663	Atf6	ortholog_one2one	85.0746
TMCO1	ENSG00000143183	TMCO1	ENSMUSG00000052428	Tmco1	ortholog_one2one	100.0
CREG1	ENSG00000143162	CREG1	ENSMUSG00000040713	Creg1	ortholog_one2one	76.8182
MPZL1	ENSG00000197965	MPZL1	ENSMUSG00000026566	Mpzl1	ortholog_one2one	83.2714
MPC2	ENSG00000143158	MPC2	ENSMUSG00000026568	Mpc2	ortholog_one2one	92.126
ATP1B1	ENSG00000143153	ATP1B1	ENSMUSG00000026576	Atp1b1	ortholog_one2one	94.0594
SCYL3	ENSG00000000457	SCYL3	ENSMUSG00000026584	Scyl3	ortholog_one2one	82.8488
FAM20B	ENSG00000116199	FAM20B	ENSMUSG00000033557	Fam20b	ortholog_one2one	97.3105
PTGS2	ENSG00000073756	PTGS2	ENSMUSG00000032487	Ptgs2	ortholog_one2one	86.755
PLA2G4A	ENSG00000116711	PLA2G4A	ENSMUSG00000056220	Pla2g4a	ortholog_one2one	94.3925
RGS2	ENSG00000116741	RGS2	ENSMUSG00000026360	Rgs2	ortholog_one2one	96.2085
PTPRC	ENSG00000081237	PTPRC	ENSMUSG00000026395	Ptprc	ortholog_one2one	66.6922
KIF14	ENSG00000118193	KIF14	ENSMUSG00000041498	Kif14	ortholog_one2one	71.2985
CAMSAP2	ENSG00000118200	CAMSAP2	ENSMUSG00000041570	Camsap2	ortholog_one2one	92.3545
CSRP1	ENSG00000159176	CSRP1	ENSMUSG00000026421	Csrp1	ortholog_one2one	99.4819
KDM5B	ENSG00000117139	KDM5B	ENSMUSG00000042207	Kdm5b	ortholog_one2one	94.2357
PIK3C2B	ENSG00000133056	PIK3C2B	ENSMUSG00000026447	Pik3c2b	ortholog_one2one	93.4517
DYRK3	ENSG00000143479	DYRK3	ENSMUSG00000016526	Dyrk3	ortholog_one2one	89.4558
MAPKAPK2	ENSG00000162889	MAPKAPK2	ENSMUSG00000016528	Mapkapk2	ortholog_one2one	92.5
LPGAT1	ENSG00000123684	LPGAT1	ENSMUSG00000026623	Lpgat1	ortholog_one2one	90.0
PPP2R5A	ENSG00000066027	PPP2R5A	ENSMUSG00000026626	Ppp2r5a	ortholog_one2one	97.7366
NENF	ENSG00000117691	NENF	ENSMUSG00000037499	Nenf	ortholog_one2one	90.6977
EPRS	ENSG00000136628	EPRS1	ENSMUSG00000026615	Eprs1	ortholog_one2one	89.2857
IARS2	ENSG00000067704	IARS2	ENSMUSG00000026618	Iars2	ortholog_one2one	83.3992
TP53BP2	ENSG00000143514	TP53BP2	ENSMUSG00000026510	Trp53bp2	ortholog_one2one	91.0053
NVL	ENSG00000143748	NVL	ENSMUSG00000026516	Nvl	ortholog_one2one	87.8505
LBR	ENSG00000143815	LBR	ENSMUSG00000004880	Lbr	ortholog_one2one	80.3252
ACBD3	ENSG00000182827	ACBD3	ENSMUSG00000026499	Acbd3	ortholog_one2one	88.8258
PARP1	ENSG00000143799	PARP1	ENSMUSG00000026496	Parp1	ortholog_one2one	92.5049
COQ8A	ENSG00000163050	COQ8A	ENSMUSG00000026489	Coq8a	ortholog_one2one	86.5533
RAB4A	ENSG00000168118	RAB4A	ENSMUSG00000019478	Rab4a	ortholog_one2one	97.7064
NUP133	ENSG00000069248	NUP133	ENSMUSG00000039509	Nup133	ortholog_one2one	83.1315
COG2	ENSG00000135775	COG2	ENSMUSG00000031979	Cog2	ortholog_one2one	84.8238
KCNK1	ENSG00000135750	KCNK1	ENSMUSG00000033998	Kcnk1	ortholog_one2one	94.9405
TARBP1	ENSG00000059588	TARBP1	ENSMUSG00000090290	Tarbp1	ortholog_one2one	71.9926
RBM34	ENSG00000188739	RBM34	ENSMUSG00000033931	Rbm34	ortholog_one2one	69.3023
ARID4B	ENSG00000054267	ARID4B	ENSMUSG00000039219	Arid4b	ortholog_one2one	89.6341
LGALS8	ENSG00000116977	LGALS8	ENSMUSG00000057554	Lgals8	ortholog_one2one	79.4953
HEATR1	ENSG00000119285	HEATR1	ENSMUSG00000050244	Heatr1	ortholog_one2one	83.8153
SCCPDH	ENSG00000143653	SCCPDH	ENSMUSG00000038936	Sccpdh	ortholog_one2one	87.1795
ADI1	ENSG00000182551	ADI1	ENSMUSG00000020629	Adi1	ortholog_one2one	84.3575
ID2	ENSG00000115738	ID2	ENSMUSG00000020644	Id2	ortholog_one2one	98.5075
ITGB1BP1	ENSG00000119185	ITGB1BP1	ENSMUSG00000062352	Itgb1bp1	ortholog_one2one	93.0
DNMT3A	ENSG00000119772	DNMT3A	ENSMUSG00000020661	Dnmt3a	ortholog_one2one	95.943
